S.No,Age_Group,Gender,Income,Purchase_Frequency,Avg_Purchase_Value,Loyalty_Member,Years_Shopping,Device_Used,Preferred_Category,Discount_%,Validity_Days,Min_Purchase_Required,Coupon_Category,Redeemed
1,55+,Male,5-10L,Weekly,12000.0,Yes,3-5,Desktop,Home & Furniture,30.0,60.0,10000.0,Fashion,No
2,36-45,Male,>20L,Quarterly,15000.0,No,5+,Mobile,Electronics,20.0,15.0,2000.0,Books,Yes
3,55+,Female,5L-10L,Weekly,12000.0,Yes,3-5,Desktop,Home & Furniture,40.0,30.0,1000.0,Home & Furniture,No
4,55+,Female,5L-10L,Rarely,5000.0,No,1-3,Desktop,Books,30.0,30.0,1000.0,Electronics,No
5,55+,Male,>20L,Quarterly,10000.0,Yes,1-3,Mobile,Electronics,60.0,7.0,1000.0,Electronics,Yes
6,55+,Male,<2,Bi-weekly,10000.0,No,3-5,Desktop,Books,15.0,30.0,1000.0,Fashion,Yes
8,55+,Male,2-5L,Bi-weekly,10000.0,Yes,1-3,Mobile,Fashion,10.0,30.0,500.0,Electronics,No
10,55+,Male,5-10L,Weekly,10000.0,No,<1,Desktop,Electronics,30.0,15.0,5000.0,Fashion,No
11,36-45,Male,5-10L,Weekly,5000.0,No,<1,Mobile,Electronics,40.0,30.0,500.0,Books,No
12,55+,Male,<2,Weekly,10000.0,No,1-3,Desktop,Fashion,30.0,60.0,2000.0,Fashion,No
13,46-55,Male,>20L,Quarterly,5000.0,No,3-5,Mobile,Fashion,20.0,15.0,10000.0,Fashion,Yes
14,55+,Male,>20L,Quarterly,10000.0,Yes,3-5,Mobile,Home & Furniture,40.0,7.0,10000.0,Electronics,Yes
15,36-45,Male,5-10L,Rarely,15000.0,Yes,<1,Mobile,Electronics,30.0,30.0,2000.0,Groceries,Yes
16,26-35,Female,2-5L,Quarterly,10000.0,Yes,<1,Mobile,Fashion,60.0,7.0,10000.0,Electronics,No
17,46-55,Male,<2,Quarterly,15000.0,No,<1,Mobile,Home & Furniture,25.0,15.0,1000.0,Fashion,Yes
18,18-25,Male,5L-10L,Rarely,10000.0,Yes,1-3,Mobile,Books,30.0,7.0,2000.0,Fashion,Yes
19,55+,Female,5-10L,Weekly,7000.0,Yes,3-5,Mobile,Electronics,25.0,30.0,1000.0,Home & Furniture,No
20,55+,Male,5L-10L,Weekly,10000.0,No,3-5,Both,Electronics,20.0,30.0,5000.0,Fashion,No
21,55+,Female,<2,Rarely,10000.0,No,<1,Desktop,Electronics,40.0,15.0,1000.0,Electronics,Yes
22,36-45,Male,5L-10L,Weekly,7000.0,No,5+,Mobile,Electronics,30.0,7.0,500.0,Home & Furniture,No
23,55+,Female,<2L,Rarely,5000.0,No,3-5,Both,Electronics,25.0,30.0,2000.0,Electronics,Yes
24,55+,Male,2-5L,Rarely,10000.0,No,<1,Mobile,Electronics,30.0,15.0,1000.0,Home & Furniture,No
25,55+,Male,<2,Weekly,3000.0,Yes,1-3,Mobile,Electronics,30.0,7.0,5000.0,Groceries,Yes
26,26-35,Female,>20L,Quarterly,10000.0,No,3-5,Mobile,Fashion,30.0,60.0,2000.0,Electronics,Yes
27,55+,Female,2-5L,Bi-weekly,10000.0,Yes,1-3,Both,Electronics,20.0,15.0,500.0,Electronics,Yes
28,18-25,Male,2-5L,Quarterly,20000.0,No,5+,Mobile,Fashion,25.0,30.0,2000.0,Fashion,Yes
29,18-25,Female,>20L,Weekly,5000.0,No,<1,Mobile,Fashion,15.0,15.0,500.0,Home & Furniture,Yes
30,55+,Male,>20L,Weekly,12000.0,Yes,3-5,Mobile,Fashion,20.0,30.0,1000.0,Fashion,Yes
31,55+,Female,5L-10L,Monthly,7000.0,No,3-5,Mobile,Home & Furniture,25.0,30.0,1000.0,Home & Furniture,No
32,55+,Female,>20L,Weekly,5000.0,No,<1,Mobile,Fashion,30.0,7.0,1000.0,Home & Furniture,No
33,36-45,Male,5-10L,Bi-weekly,3000.0,Yes,<1,Desktop,Home & Furniture,50.0,7.0,10000.0,Groceries,No
34,36-45,Female,10-20L,Monthly,5000.0,Yes,<1,Desktop,Electronics,30.0,30.0,2000.0,Home & Furniture,Yes
36,26-35,Female,5-10L,Quarterly,7000.0,Yes,5+,Mobile,Fashion,15.0,15.0,2000.0,Home & Furniture,Yes
38,36-45,Female,10-20L,Monthly,3000.0,No,<1,Mobile,Fashion,15.0,30.0,10000.0,Home & Furniture,No
40,55+,Male,>20L,Monthly,3000.0,No,1-3,Mobile,Electronics,40.0,15.0,1000.0,Home & Furniture,No
41,36-45,Female,>20L,Bi-weekly,15000.0,No,1-3,Desktop,Books,50.0,30.0,2000.0,Fashion,No
